                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                  1.266,                 2.3578,                 1.5299,                 1.4348,                 0.2509,                0.24975,                0.22611,                0.14043,                0.23918,                0.23418,                 0.2114,                0.11707,                   1.58,                 3.0138,                 2.2395,                 1.8209,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.2626,                 2.3447,                 1.5622,                 1.4442,                 0.3719,                0.28273,                0.30198,                0.18811,                0.38163,                0.26175,                0.29211,                0.16219,                 1.4862,                 2.8524,                 1.7686,                  1.731,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.1941,                 2.2473,                 1.4498,                 1.3907,                0.70889,                0.31117,                0.32692,                  0.219,                0.69162,                0.29527,                 0.3057,                 0.1793,                 1.4283,                 2.7914,                 1.7854,                  1.701,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1757,                 2.2473,                 1.4117,                 1.3815,                0.29984,                 0.2786,                 0.2649,                0.16614,                0.30082,                0.24895,                0.24442,                0.12904,                 1.5127,                 3.1295,                 1.8412,                 1.7307,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1973,                 2.2088,                 1.4214,                 1.3988,                0.34142,                0.29355,                0.32476,                0.21528,                0.33958,                0.29132,                0.31431,                0.18058,                 1.4254,                 2.7389,                 1.6859,                  1.693,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.1923,                 2.2378,                 1.4058,                 1.3985,                 0.6727,                0.35226,                0.34293,                0.22721,                0.66929,                0.33234,                0.33421,                0.19348,                 1.4212,                 2.6844,                 1.5726,                 1.6652,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.1756,                 2.1837,                 1.3631,                 1.3655,                0.70047,                0.33471,                0.33712,                0.22093,                0.69613,                 0.3348,                0.33097,                0.18996,                  1.437,                 2.7634,                  1.621,                 1.6969,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.1354,                 2.1414,                 1.3633,                 1.3445,                0.33212,                0.30541,                0.31605,                0.21379,                0.33475,                0.30825,                0.31842,                0.18592,                 1.4174,                 2.6714,                 1.7359,                 1.6578,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.1725,                 2.1203,                 1.3179,                 1.3599,                0.37061,                0.28736,                 0.3127,                0.20659,                0.37293,                0.28739,                0.30777,                0.17891,                 1.5015,                 2.7025,                 1.7618,                 1.7565,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1395,                 2.1375,                 1.3411,                 1.3567,                0.70442,                0.29753,                0.33922,                0.23578,                0.71434,                0.29018,                0.32981,                0.19729,                  1.403,                 2.6334,                 1.6367,                 1.6901,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1342,                 2.0839,                 1.3032,                  1.348,                 0.7164,                0.32247,                  0.326,                0.22123,                0.70376,                 0.3187,                 0.3099,                0.18868,                 1.3586,                 2.6284,                 1.6184,                  1.632,             0.00059432,             0.00059432,             0.00059432
                     62,                  1.157,                 2.1477,                 1.3775,                 1.3705,                0.35537,                0.31337,                0.32349,                0.21556,                0.34964,                0.31362,                0.31048,                0.18646,                 1.3653,                 2.6366,                  1.658,                 1.6278,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.1035,                 2.0865,                 1.2761,                 1.3302,                0.40278,                0.29091,                0.32939,                0.21894,                0.42289,                0.28296,                0.31841,                0.18641,                 1.3783,                 2.5352,                 1.6008,                 1.6695,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.0838,                 1.9922,                 1.2478,                 1.3196,                0.38076,                0.30117,                 0.3279,                0.22189,                0.37581,                0.29705,                0.31447,                0.19203,                 1.3497,                 2.5598,                 1.6195,                 1.6394,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.0845,                 2.0353,                 1.2509,                  1.314,                0.36411,                0.36015,                0.36436,                 0.2464,                 0.3177,                0.39612,                0.35252,                0.21383,                 1.3086,                 2.5123,                  1.521,                  1.595,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.0484,                 1.9835,                 1.1853,                 1.2916,                0.35533,                0.34015,                0.33432,                0.22333,                0.37438,                0.31205,                0.32194,                0.18525,                 1.3535,                 2.6281,                 1.5287,                 1.6633,             0.00052359,             0.00052359,             0.00052359
                     67,                  1.069,                  1.995,                 1.2201,                  1.306,                0.37137,                0.31829,                0.34629,                0.24365,                0.36688,                0.31752,                0.33713,                0.21159,                 1.2871,                  2.546,                 1.5951,                 1.5936,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.0435,                 1.9224,                 1.1684,                 1.2774,                 0.3672,                0.33366,                0.34477,                0.23716,                0.35512,                0.32282,                0.32982,                0.19831,                 1.3713,                 2.5541,                 1.6822,                 1.6438,             0.00049529,             0.00049529,             0.00049529
                     69,                  1.069,                 1.9901,                 1.2042,                 1.2921,                0.74284,                0.32536,                0.36307,                0.24814,                0.74567,                0.31987,                0.35164,                0.21545,                  1.285,                 2.5052,                 1.5325,                  1.583,             0.00048114,             0.00048114,             0.00048114
                     70,                  1.047,                 1.9697,                 1.1807,                  1.277,                0.40026,                0.33842,                0.36871,                0.25968,                0.38111,                0.34478,                0.36032,                0.22525,                 1.2585,                 2.5625,                 1.4407,                 1.5801,               0.000467,               0.000467,               0.000467
                     71,                 1.0175,                 1.9518,                 1.1724,                 1.2711,                0.75112,                0.33842,                0.36752,                0.26472,                 0.7435,                0.33283,                0.35443,                0.21782,                 1.2531,                 2.6018,                 1.4638,                 1.5418,             0.00045285,             0.00045285,             0.00045285
                     72,                 0.9762,                 1.8767,                 1.1145,                 1.2371,                0.39374,                0.36986,                0.39513,                0.27112,                0.43231,                0.31711,                0.37752,                0.23053,                 1.2347,                 2.4862,                 1.4642,                 1.5268,              0.0004387,              0.0004387,              0.0004387
                     73,                0.96283,                  1.846,                 1.0946,                 1.2261,                0.38462,                0.35583,                0.36994,                0.25846,                0.41907,                 0.3155,                0.35935,                0.22618,                 1.2735,                 2.5138,                 1.4783,                 1.5827,             0.00042456,             0.00042456,             0.00042456
                     74,                0.95717,                 1.8358,                 1.0675,                 1.2369,                0.41499,                0.33615,                0.36463,                0.25885,                0.41601,                0.33136,                0.35586,                0.22221,                 1.2329,                 2.4862,                 1.4519,                 1.5555,             0.00041041,             0.00041041,             0.00041041
                     75,                 0.9466,                 1.8026,                 1.0463,                 1.2168,                0.41942,                0.38376,                0.39179,                0.28444,                  0.409,                0.37033,                0.37989,                0.24367,                 1.2169,                 2.4192,                 1.3899,                 1.5241,             0.00039626,             0.00039626,             0.00039626
                     76,                0.96955,                 1.8362,                 1.0697,                 1.2183,                0.41424,                0.36274,                0.39764,                 0.2891,                0.40765,                0.35885,                0.38699,                0.25725,                 1.1919,                 2.4007,                 1.3435,                 1.5259,             0.00038211,             0.00038211,             0.00038211
                     77,                0.94836,                 1.8192,                 1.0397,                 1.2192,                0.42563,                0.36015,                0.38991,                0.27196,                 0.4096,                 0.3448,                0.37224,                0.23084,                  1.182,                 2.4446,                 1.3993,                 1.5019,             0.00036797,             0.00036797,             0.00036797
                     78,                0.91685,                 1.7724,                 1.0486,                 1.1914,                0.38914,                0.39347,                0.39213,                0.28401,                0.38693,                0.37063,                0.37528,                0.24292,                 1.1835,                 2.4396,                 1.3939,                 1.5281,             0.00035382,             0.00035382,             0.00035382
                     79,                0.92509,                  1.719,                 1.0029,                 1.2051,                0.39061,                 0.3781,                0.38646,                0.28663,                0.38157,                0.36239,                0.37307,                0.24646,                 1.1647,                 2.4253,                 1.3933,                 1.5059,             0.00033967,             0.00033967,             0.00033967
                     80,                0.91947,                 1.7391,                0.99582,                 1.1976,                0.40888,                0.36232,                0.39405,                0.28898,                0.40769,                0.33767,                 0.3746,                0.24829,                 1.1502,                 2.4393,                 1.3893,                 1.4773,             0.00032553,             0.00032553,             0.00032553
                     81,                  0.925,                 1.7985,                 1.0022,                 1.2028,                0.45646,                0.43266,                0.40565,                0.30538,                0.44888,                0.42518,                0.39363,                0.26683,                  1.134,                 2.4035,                 1.3904,                  1.493,             0.00031138,             0.00031138,             0.00031138
                     82,                0.94374,                   1.79,                0.99863,                 1.2157,                0.35071,                0.47964,                0.39911,                 0.2987,                 0.3399,                0.46504,                0.38731,                0.25462,                 1.1384,                 2.3428,                 1.3832,                  1.475,             0.00029723,             0.00029723,             0.00029723
                     83,                0.88561,                 1.7338,                0.98888,                 1.1825,                0.39963,                0.37622,                0.41113,                0.30682,                 0.4021,                0.36462,                0.39913,                0.27027,                  1.132,                 2.3275,                 1.3433,                 1.4852,             0.00028308,             0.00028308,             0.00028308
                     84,                0.85925,                 1.6286,                0.92321,                 1.1654,                0.41606,                0.39649,                0.42947,                0.32369,                0.40409,                0.38638,                0.41372,                 0.2805,                 1.0741,                 2.4115,                 1.2827,                 1.4421,             0.00026894,             0.00026894,             0.00026894
                     85,                0.83784,                 1.6478,                0.90935,                 1.1537,                0.43449,                 0.3946,                0.41964,                0.32372,                0.42218,                0.38415,                 0.4183,                0.27977,                 1.0896,                 2.3694,                 1.3109,                  1.439,             0.00025479,             0.00025479,             0.00025479
                     86,                0.84709,                 1.6051,                0.89087,                 1.1521,                0.42555,                0.38849,                 0.4249,                0.32331,                0.40718,                 0.3807,                0.41096,                0.28089,                 1.0893,                 2.3723,                 1.2821,                  1.442,             0.00024064,             0.00024064,             0.00024064
                     87,                0.86574,                 1.6659,                0.91144,                  1.161,                0.54079,                0.42342,                 0.4468,                0.34354,                0.54034,                0.42024,                0.43801,                0.30273,                 1.0897,                 2.3389,                 1.3065,                 1.4405,              0.0002265,              0.0002265,              0.0002265
                     88,                0.84192,                 1.6465,                0.94943,                 1.1552,                0.48095,                0.46133,                0.42934,                0.32889,                0.47317,                0.44822,                0.41326,                0.28046,                 1.0702,                 2.3555,                 1.2875,                 1.4219,             0.00021235,             0.00021235,             0.00021235
                     89,                0.81637,                 1.5775,                0.87698,                 1.1276,                0.41711,                0.41501,                  0.432,                0.33334,                0.33826,                0.50514,                0.42532,                 0.2869,                 1.0577,                 2.3638,                 1.3065,                 1.4302,              0.0001982,              0.0001982,              0.0001982
                     90,                0.82524,                 1.6079,                0.88619,                 1.1479,                0.43612,                0.48383,                0.45192,                0.34249,                0.42913,                0.47635,                0.44012,                0.29677,                  1.044,                  2.323,                 1.2552,                 1.4092,             0.00018406,             0.00018406,             0.00018406
                     91,                0.77265,                 1.4883,                0.78288,                 1.0987,                 0.3945,                0.50591,                0.42983,                0.33044,                 0.3867,                0.49246,                0.40463,                0.28329,                 1.0408,                  2.362,                 1.2988,                 1.4189,             0.00016991,             0.00016991,             0.00016991
                     92,                0.72626,                 1.4229,                0.72876,                 1.0808,                0.42706,                0.49242,                0.42586,                0.33236,                0.42061,                0.48494,                0.41354,                0.28823,                 1.0044,                 2.3519,                 1.3033,                 1.3857,             0.00015576,             0.00015576,             0.00015576
                     93,                0.68401,                  1.353,                0.67789,                 1.0553,                 0.5511,                0.42275,                0.43417,                0.34864,                0.54595,                0.42612,                0.42409,                0.30321,                 1.0079,                 2.3328,                 1.3181,                 1.3926,             0.00014161,             0.00014161,             0.00014161
                     94,                0.68647,                  1.315,                0.67573,                 1.0542,                0.54113,                0.45756,                0.45369,                0.36543,                0.53717,                0.45421,                0.44291,                0.31342,                0.99655,                 2.3389,                 1.2449,                 1.3876,             0.00012747,             0.00012747,             0.00012747
                     95,                0.66266,                 1.3105,                 0.6747,                 1.0516,                0.54103,                0.45986,                0.46472,                0.37321,                0.53505,                0.44862,                0.45051,                0.32582,                0.98836,                 2.3262,                 1.2396,                 1.3936,             0.00011332,             0.00011332,             0.00011332
                     96,                0.67594,                 1.3375,                0.67494,                 1.0553,                0.52709,                0.45308,                0.46335,                0.37508,                0.52025,                0.44956,                0.45101,                0.32832,                0.98018,                 2.3042,                 1.2495,                 1.3761,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.63846,                 1.2817,                0.64213,                   1.04,                0.51794,                0.46245,                0.47576,                0.38592,                0.50889,                0.45197,                0.46066,                0.33499,                0.95306,                 2.3001,                 1.2109,                 1.3653,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.63394,                 1.2886,                0.63253,                 1.0204,                0.57524,                0.43136,                 0.4945,                0.40755,                0.57755,                0.42707,                0.48096,                 0.3532,                0.94368,                  2.301,                 1.2354,                 1.3637,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.64204,                 1.2803,                0.62861,                 1.0312,                0.55529,                0.59635,                0.51101,                0.41824,                0.54829,                0.58887,                0.49639,                0.36708,                 0.9552,                 2.3024,                 1.2405,                  1.359,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.63234,                 1.2603,                0.62979,                 1.0308,                0.57792,                0.52376,                0.50393,                0.41448,                0.56898,                0.51479,                0.49105,                0.36157,                 0.9375,                 2.2858,                 1.2433,                 1.3542,             4.2584e-05,             4.2584e-05,             4.2584e-05
